datetime,temp,atemp,humidity,windspeed,season=Inverno,season=Primavera,weather=Neblina,weather=Neve/Chuvoso,count
2011-01-01 00:00:00,0.22448979591836735,0.30506768094865194,0.81,0.0,0.0,1.0,0.0,0.0,0.015368852459016393
2011-01-01 01:00:00,0.2040816326530612,0.2880635417831972,0.8,0.0,0.0,1.0,0.0,0.0,0.039959016393442626
2011-01-01 02:00:00,0.2040816326530612,0.2880635417831972,0.8,0.0,0.0,1.0,0.0,0.0,0.031762295081967214
2011-01-01 03:00:00,0.22448979591836735,0.30506768094865194,0.75,0.0,0.0,1.0,0.0,0.0,0.012295081967213115
2011-01-01 04:00:00,0.22448979591836735,0.30506768094865194,0.75,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-01 05:00:00,0.22448979591836735,0.2711712719543573,0.75,0.10532502644880687,0.0,1.0,1.0,0.0,0.0
2011-01-01 06:00:00,0.2040816326530612,0.2880635417831972,0.8,0.0,0.0,1.0,0.0,0.0,0.0010245901639344263
2011-01-01 07:00:00,0.18367346938775508,0.2711712719543573,0.86,0.0,0.0,1.0,0.0,0.0,0.0020491803278688526
2011-01-01 08:00:00,0.22448979591836735,0.30506768094865194,0.75,0.0,0.0,1.0,0.0,0.0,0.007172131147540984
2011-01-01 09:00:00,0.3061224489795918,0.37286049893724127,0.76,0.0,0.0,1.0,0.0,0.0,0.01331967213114754
2011-01-01 10:00:00,0.3673469387755102,0.42364917776037586,0.76,0.2982249911837311,0.0,1.0,0.0,0.0,0.035860655737704916
2011-01-01 11:00:00,0.3469387755102041,0.35585635977178653,0.81,0.33337251675091106,0.0,1.0,0.0,0.0,0.05635245901639344
2011-01-01 12:00:00,0.4081632653061224,0.45754558675467055,0.77,0.33337251675091106,0.0,1.0,0.0,0.0,0.08504098360655737
2011-01-01 13:00:00,0.4489795918367347,0.4914419957489652,0.72,0.35088750440813454,0.0,1.0,1.0,0.0,0.09528688524590163
2011-01-01 14:00:00,0.4489795918367347,0.4914419957489652,0.72,0.33337251675091106,0.0,1.0,1.0,0.0,0.10758196721311475
2011-01-01 15:00:00,0.42857142857142855,0.47454972592012523,0.77,0.35088750440813454,0.0,1.0,1.0,0.0,0.11168032786885246
2011-01-01 16:00:00,0.4081632653061224,0.45754558675467055,0.82,0.35088750440813454,0.0,1.0,1.0,0.0,0.0942622950819672
2011-01-01 17:00:00,0.42857142857142855,0.47454972592012523,0.82,0.33337251675091106,0.0,1.0,1.0,0.0,0.06762295081967214
2011-01-01 18:00:00,0.4081632653061224,0.45754558675467055,0.88,0.2982249911837311,0.0,1.0,0.0,1.0,0.03483606557377049
2011-01-01 19:00:00,0.4081632653061224,0.45754558675467055,0.88,0.2982249911837311,0.0,1.0,0.0,1.0,0.036885245901639344
2011-01-01 20:00:00,0.3877551020408163,0.44065331692583054,0.87,0.2982249911837311,0.0,1.0,1.0,0.0,0.035860655737704916
2011-01-01 21:00:00,0.3877551020408163,0.44065331692583054,0.87,0.22804749030210414,0.0,1.0,1.0,0.0,0.03381147540983607
2011-01-01 22:00:00,0.3877551020408163,0.44065331692583054,0.94,0.2631950158692841,0.0,1.0,1.0,0.0,0.027663934426229508
2011-01-01 23:00:00,0.4489795918367347,0.4914419957489652,0.88,0.35088750440813454,0.0,1.0,1.0,0.0,0.0389344262295082
2011-01-02 00:00:00,0.4489795918367347,0.4914419957489652,0.88,0.35088750440813454,0.0,1.0,1.0,0.0,0.01639344262295082
2011-01-02 01:00:00,0.42857142857142855,0.47454972592012523,0.94,0.2982249911837311,0.0,1.0,1.0,0.0,0.01639344262295082
