dteday,hr,weekday,temp,atemp,hum,windspeed,cnt,season=1,season=2,season=3,season=4,weathersit=1,weathersit=2,weathersit=3,weathersit=4,holiday=0,holiday=1,workingday=0,workingday=1,dlog_cnt
2011-01-01,0.30434782608695654,1.0,0.18367346938775514,0.2576,0.86,0.0,0.0020491803278688526,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.014903020542265
2011-01-01,0.34782608695652173,1.0,0.22448979591836735,0.2879,0.75,0.0,0.007172131147540984,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.7176514970743333
2011-01-01,0.391304347826087,1.0,0.30612244897959184,0.3485,0.76,0.0,0.01331967213114754,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.8690378470236095
2011-01-01,0.43478260869565216,1.0,0.3673469387755102,0.3939,0.76,0.298224991183731,0.035860655737704916,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0704414117014132
2011-01-01,0.5652173913043478,1.0,0.4489795918367347,0.4545,0.72,0.35088750440813443,0.09528688524590163,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.532599493153255
2011-01-01,0.6086956521739131,1.0,0.4489795918367347,0.4545,0.72,0.333372516750911,0.10758196721311475,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.9608131695975786
2011-01-01,0.6521739130434783,1.0,0.42857142857142855,0.4394,0.77,0.35088750440813443,0.11168032786885246,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.745437733173831
2011-01-01,0.6956521739130435,1.0,0.4081632653061224,0.4242,0.82,0.35088750440813443,0.0942622950819672,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.9568392195875037
2011-01-01,0.7391304347826086,1.0,0.42857142857142855,0.4394,0.82,0.333372516750911,0.06762295081967214,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6343066805370121
2011-01-01,0.782608695652174,1.0,0.4081632653061224,0.4242,0.88,0.298224991183731,0.03483606557377049,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.4809726606163096
2011-01-01,0.8260869565217391,1.0,0.4081632653061224,0.4242,0.88,0.298224991183731,0.036885245901639344,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.8353216693404879
2011-01-01,0.8695652173913043,1.0,0.3877551020408163,0.4091,0.87,0.298224991183731,0.035860655737704916,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.9772514316638423
